stage,theoretical_probability,empirical_probability,z_score
Cin,0.500000,0.502800,0.560000
C1,0.500000,0.503200,0.640000
C2,0.500000,0.506800,1.360000
C3,0.500000,0.503900,0.780000
C4,0.500000,0.499600,-0.080000
C5,0.500000,0.497800,-0.440000
C6,0.500000,0.500800,0.160000
C7,0.500000,0.494200,-1.160000
C8,0.500000,0.490700,-1.860000
C9,0.500000,0.492500,-1.500000
C10,0.500000,0.490600,-1.880000
C11,0.500000,0.489900,-2.020000
C12,0.500000,0.495400,-0.920000
C13,0.500000,0.499400,-0.120000
C14,0.500000,0.503800,0.760000
C15,0.500000,0.496900,-0.620000
C16,0.500000,0.499500,-0.100000
