bit,theoretical_probability,empirical_probability,z_score
0,0.500000,0.495100,-0.980000
1,0.500000,0.497000,-0.600000
2,0.500000,0.495900,-0.820000
3,0.500000,0.498300,-0.340000
4,0.500000,0.500200,0.040000
5,0.500000,0.491100,-1.780000
6,0.500000,0.507700,1.540000
7,0.500000,0.500200,0.040000
8,0.500000,0.509200,1.840000
9,0.500000,0.506100,1.220000
10,0.500000,0.497900,-0.420000
11,0.500000,0.499900,-0.020000
12,0.500000,0.496300,-0.740000
13,0.500000,0.495700,-0.860000
14,0.500000,0.502300,0.460000
15,0.500000,0.509300,1.860000
